"","Year","Month","Day","TSU","EQ","Name","Location","Country","Latitude","Longitude","Elevation","Type","Status","Time","VEI","Agent","DEATHS","DEATHS_DESCRIPTION","MISSING","MISSING_DESCRIPTION","INJURIES","INJURIES_DESCRIPTION","DAMAGE_MILLIONS_DOLLARS","DAMAGE_DESCRIPTION","HOUSES_DESTROYED","HOUSES_DESTROYED_DESCRIPTION","TOTAL_DEATHS","TOTAL_DEATHS_DESCRIPTION","TOTAL_MISSING","TOTAL_MISSING_DESCRIPTION","TOTAL_INJURIES","TOTAL_INJURIES_DESCRIPTION","TOTAL_DAMAGE_MILLIONS_DOLLARS","TOTAL_DAMAGE_DESCRIPTION","TOTAL_HOUSES_DESTROYED","TOTAL_HOUSES_DESTROYED_DESCRIPTION"
"438",1928,11,2,"","","Etna","Italy","Italy",37.734,15.004,3350,"Stratovolcano","Historical","D1",1,"L",5,1,NA,NA,NA,NA,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA
"439",1929,1,6,"","","Calbuco","Chile-S","Chile",-41.326,-72.614,2003,"Stratovolcano","Historical","D2",3,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"440",1929,6,17,"","","Komaga-take","Hokkaido-Japan","Japan",42.07,140.68,1140,"Stratovolcano","Historical","D1",4,"T",2,1,NA,NA,4,1,NA,NA,NA,NA,2,1,NA,NA,4,1,NA,NA,NA,NA
"441",1929,8,2,"","","Etna","Italy","Italy",37.734,15.004,3350,"Stratovolcano","Historical","D1",2,"T",2,1,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA
"442",1929,11,2,"","","Santa Maria","Guatemala","Guatemala",14.756,-91.552,3772,"Stratovolcano","Historical","D1",3,"P,M",200,3,NA,NA,NA,NA,NA,NA,NA,NA,200,3,NA,NA,NA,NA,NA,NA,NA,NA
"443",1930,3,17,"TSU","","Krakatau","Indonesia","Indonesia",-6.102,105.423,813,"Caldera","Historical","D1",2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"444",1930,8,20,"","","Asama","Honshu-Japan","Japan",36.4,138.53,2560,"Complex volcano","Historical","D1",3,"T",6,1,NA,NA,NA,NA,NA,NA,NA,NA,6,1,NA,NA,NA,NA,NA,NA,NA,NA
"445",1930,9,11,"TSU","","Stromboli","Italy","Italy",38.789,15.213,926,"Stratovolcano","Historical","D1",3,"P",5,1,NA,NA,20,1,NA,2,NA,NA,6,1,NA,NA,20,1,NA,2,NA,NA
"446",1930,12,18,"","","Merapi","Java","Indonesia",-7.542,110.442,2947,"Stratovolcano","Historical","D1",3,"P,M",1369,4,NA,NA,NA,NA,NA,3,1109,4,1369,4,NA,NA,NA,NA,NA,3,1109,4
"447",1931,8,20,"","","Asama","Honshu-Japan","Japan",36.4,138.53,2560,"Complex volcano","Historical","D1",3,"",3,1,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA
"448",1932,1,21,"","","Fuego","Guatemala","Guatemala",14.473,-90.88,3763,"Stratovolcano","Historical","D1",4,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"449",1932,2,NA,"","","Merapi","Java","Indonesia",-7.542,110.442,2947,"Stratovolcano","Historical","D1",NA,"m",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"450",1932,10,1,"","","Kusatsu-Shirane","Honshu-Japan","Japan",36.62,138.55,2176,"Stratovolcano","Historical","D1",3,"M",2,1,NA,NA,7,1,NA,NA,NA,NA,2,1,NA,NA,7,1,NA,NA,NA,NA
"451",1933,1,8,"TSU","EQ","Kharimkotan","Kuril Is","Russia",49.12,154.508,1145,"Stratovolcano","Historical","D2",3,"W",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA
