"STATION","NAME","DATE","PRCP","TMAX","TMIN","WSF5"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-05-10","0.18","60","42","36.9"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-05-11","0.00","72","36","23.9"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-05-12","0.00","81","45","19.9"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-05-13","0.00","85","48","16.1"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-05-14","0.00","82","51","18.1"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-05-15","0.00","85","50","15.0"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-05-16","0.00","79","52","25.1"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-05-17","0.00","65","52","25.1"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-05-18","0.00","74","51","19.9"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-05-19","0.02","66","53","21.0"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-05-20","0.00","75","44","23.9"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-05-21","0.01","69","46","30.0"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-05-22","0.00","64","40","28.0"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-05-23","0.00","75","42","28.0"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-05-24","0.00","68","50","23.9"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-05-25","0.17","66","48","23.0"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-05-26","0.01","71","53","25.1"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-05-27","0.24","64","49","30.0"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-05-28","0.00","69","43","25.9"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-05-29","0.01","83","50","25.1"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-05-30","0.00","87","50","15.0"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-05-31","0.00","81","59","19.9"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-06-01","0.00","80","56","18.1"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-06-02","0.00","85","57","21.9"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-06-03","0.00","85","60","25.9"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-06-04","0.00","82","64","23.9"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-06-05","0.00","90","61","21.0"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-06-06","0.00","92","62","18.1"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-06-07","0.00","88","59","18.1"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-06-08","0.00","86","57","21.9"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-06-09","0.00","80","55","25.9"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-06-10","0.00","79","48","29.1"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-06-11","0.00","85","60","38.9"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-06-12","0.00","92","60","38.0"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-06-13","0.00","97","58","23.9"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-06-14","0.00","92","61","23.9"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-06-15","0.00","85","55","21.0"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-06-16","0.00","83","52","31.1"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-06-17","0.00","86","52","17.0"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-06-18","0.00","80","54","29.1"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-06-19","0.00","77","52","25.9"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-06-20","0.00","82","51","18.1"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-06-21","0.00","90","56","23.9"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-06-22","0.00","92","60","16.1"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-06-23","0.00","93","61","17.0"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-06-24","0.00","84","57","29.1"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-06-25","0.00","86","56","21.9"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-06-26","0.00","95","57","17.0"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-06-27","0.00","102","60","13.0"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-06-28","0.00","102","67","18.1"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-06-29","0.00","98","62","19.9"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-06-30","0.00","89","59","18.1"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-07-01","0.00","87","55","21.0"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-07-02","0.00","87","58","17.0"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-07-03","0.00","91","59","28.0"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-07-04","0.00","98","60","23.9"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-07-05","0.00","96","60","21.0"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-07-06","0.00","86","55","21.0"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-07-07","0.00","90","55","21.0"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-07-08","0.00","89","56","19.9"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-07-09","0.00","91","57","21.0"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-07-10","0.00","99","18","17.0"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-07-11","0.00","99","57","18.1"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-07-12","0.00","87","58","25.1"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-07-13","0.00","88","58","21.9"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-07-14","0.00","94","60","14.1"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-07-15","0.00","100","64","15.0"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-07-16","0.00","102","66","21.0"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-07-17","0.00","97","61","19.9"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-07-18","0.00","100","61","16.1"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-07-19","0.00","98","62","21.0"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-07-20","0.00","90","57","21.0"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-07-21","0.00","82","56","23.0"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-07-22","0.00","93","54","21.0"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-07-23","0.00","95","57","16.1"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-07-24","0.00","97","57","21.9"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-07-25","0.00","91","57","23.0"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-07-26","0.00","82","56","23.0"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-07-27","0.00","84","54","23.0"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-07-28","0.00","88","54","17.0"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-07-29","0.00","91","54","17.0"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-07-30","0.00","90","54","19.9"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-07-31","0.00","90","55","17.0"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-08-01","0.00","92","55","17.0"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-08-02","0.00","90","57","17.0"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-08-03","0.00","95","54","16.1"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-08-04","0.00","90","57","21.9"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-08-05","0.00","86","54","18.1"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-08-06","0.00","91","54","19.9"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-08-07","0.00","89","54","23.0"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-08-08","0.00","82","57","25.1"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-08-09","0.00","87","55","21.9"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-08-10","0.00","88","54","23.9"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-08-11","0.00","78","54","25.1"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-08-12","0.00","89","50","15.0"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-08-13","0.00","91","58","21.9"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-08-14","0.00","88","54","19.9"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-08-15","0.00","89","55","19.9"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-08-16","0.00","95","56","21.0"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-08-17","0.00","90","55","23.0"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-08-18","0.00","87","56","23.0"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-08-19","0.00","94","51","14.1"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-08-20","0.00","92","57","19.9"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-08-21","0.00","81","54","31.1"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-08-22","0.00","85","53","19.9"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-08-23","0.00","97","57","18.1"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-08-24","0.00","103","59","14.1"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-08-25","0.00","106","64","19.9"
